"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Low-income; Other respiratory diseases","0","4299","1159","2230","3489","3281","6472","15667","36597","0","3401","1258","1996","2410","1888","3522","9905","24380","60977","0","6514","1342","2373","3503","3006","6047","12606","35391","0","4869","1543","2135","2376","1803","3461","8699","24886","60277"
"Low-income; Digestive diseases","25","5258","5710","12969","38917","30196","32565","41132","166772","2","4388","5627","7770","16605","14349","21690","41837","112268","279040","26","6476","6160","12692","35245","25329","28432","32970","147330","27","4904","5801","6933","14076","12130","18400","31019","93290","240620"
"Low-income; Peptic ulcer disease","0","277","647","1986","4710","3911","4940","8948","25419","0","198","500","1224","2138","1896","3181","8390","17527","42946","0","533","996","2761","6122","4607","5708","8722","29449","0","306","729","1579","2469","2019","3165","6847","17114","46563"
"Low-income; Cirrhosis of the liver","0","1328","1454","4628","22446","18049","17035","14149","79089","0","1087","1549","2785","8677","7215","9852","12418","43583","122672","0","1586","1445","4109","18918","13584","13595","10515","63752","0","1343","1660","2218","6888","5493","7818","9117","34537","98289"
"Low-income; Appendicitis","0","785","833","837","928","600","773","1054","5810","0","620","833","591","581","424","676","1221","4946","10756","0","1025","945","871","925","593","769","997","6125","0","669","828","561","527","396","623","984","4588","10713"
"Low-income; Other digestive diseases","25","2867","2776","5518","10834","7636","9817","16981","56454","2","2483","2744","3171","5210","4813","7982","19808","46213","102667","26","3332","2773","4952","9279","6546","8360","12736","48004","27","2586","2584","2576","4192","4222","6793","14071","37051","85055"
"Low-income; Genitourinary diseases","347","4966","4545","6459","9674","8548","11867","25667","72073","83","3268","3580","4949","8164","7444","12094","27602","67184","139257","283","7183","5640","6446","8461","6595","9340","17648","61596","56","4187","3957","4206","5832","5145","8322","15951","47656","109252"
"Low-income; Kidney diseases","0","3646","3914","5176","7371","6341","8277","16590","51315","0","2888","3164","3938","6251","5695","8609","17233","47778","99093","0","5766","5124","5480","6882","5086","6909","12144","47391","0","3925","3629","3528","4714","4149","6394","10982","37321","84712"
"Low-income; Hyperplasia of prostate","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","8","10","0","0","0","0","0","0","0","0","0","10"
"Low-income; Urolithiasis","0","0","96","109","271","300","432","1274","2482","0","0","57","64","196","204","430","1296","2247","4729","0","0","101","109","229","227","359","893","1918","0","0","72","59","144","149","311","828","1563","3481"
"Low-income; Other genitourinary diseases","347","1320","536","1173","2031","1908","3158","7800","18273","83","380","359","764","1401","1463","2981","8944","16375","34648","283","1417","415","857","1350","1283","2070","4602","12277","56","262","257","482","758","806","1578","4082","8281","20558"
"Low-income; Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Gynecological diseases","0","0","0","0","0","0","0","0","0","0","0","0","183","317","82","74","129","785","785","0","0","0","0","0","0","0","0","0","0","0","0","137","216","41","39","60","493","493"
"Low-income; Skin diseases","0","2336","963","1495","2801","2028","2757","6984","19364","1","1887","815","1221","1539","1190","1753","5770","14176","33540","0","3288","1109","1539","2577","1886","2584","5895","18878","0","2805","903","1132","1377","1067","1513","4333","13130","32008"
"Low-income; Musculoskeletal diseases","0","0","755","1381","1578","1142","1420","3806","10082","0","1","1238","2400","2593","2292","2318","6589","17431","27513","0","0","530","867","925","692","849","2070","5933","0","0","808","1270","1321","1327","1386","3540","9652","15585"
"Low-income; Rheumatoid arthritis","0","0","319","468","678","635","919","2703","5722","0","0","523","592","995","1366","1379","3973","8828","14550","0","0","293","382","502","450","628","1640","3895","0","0","381","338","580","902","912","2372","5485","9380"
"Low-income; Osteoarthritis","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Gout","0","0","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Low-income; Back and neck pain","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other musculoskeletal disorders","0","0","436","912","899","506","501","1102","4356","0","1","715","1808","1597","925","938","2616","8600","12956","0","0","238","485","423","241","220","430","2037","0","0","427","931","741","425","474","1168","4166","6203"
"Low-income; Congenital anomalies","32498","19813","5846","2094","741","440","652","1755","63839","30008","18969","4347","2198","695","346","630","1961","59154","122993","25757","14197","6401","2065","685","374","580","1329","51388","24098","13288","4656","1890","566","330","564","1518","46910","98298"
"Low-income; Neural tube defects","6800","2216","541","128","47","31","40","87","9890","6743","2087","481","190","62","24","45","127","9759","19649","6633","1799","638","146","59","34","48","76","9433","6782","1670","589","204","70","37","56","130","9538","18971"
"Low-income; Cleft lip and cleft palate","495","245","0","0","0","0","0","0","740","263","134","0","0","0","0","0","0","397","1137","513","205","0","0","0","0","0","0","718","215","90","0","0","0","0","0","0","305","1023"
"Low-income; Down's syndrome","513","753","228","116","58","35","26","9","1738","678","976","246","156","69","36","34","11","2206","3944","482","609","265","118","55","33","23","6","1591","674","779","286","148","59","37","34","9","2026","3617"
"Low-income; Congenital heart anomalies","10386","5472","2031","1093","303","147","257","936","20625","9143","4914","1379","931","252","102","248","1158","18127","38752","7400","3510","2035","1016","263","118","221","695","15258","6554","3050","1318","736","189","95","215","873","13030","28288"
"Low-income; Other chromosomal anomalies","1354","539","146","46","16","9","13","12","2135","1426","885","154","67","20","7","30","14","2603","4738","1179","421","171","46","15","7","12","10","1861","1281","688","170","65","14","7","24","11","2260","4121"
"Low-income; Other congenital anomalies","12949","10588","2901","711","318","218","317","711","28713","11756","9974","2088","856","294","176","273","652","26069","54782","9550","7653","3294","738","292","181","276","542","22526","8592","7010","2294","738","233","155","235","496","19753","42279"
"Low-income; Oral conditions","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Dental caries","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Periodontal disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Injuries","4442","65479","63522","155360","104096","32497","25857","34202","485455","4008","50374","44956","56106","39382","15344","16629","38215","265014","750469","6077","67763","65036","157490","98167","25952","20383","23421","464289","5245","50893","46539","52402","33012","12157","13205","25317","238770","703059"
"Low-income; Unintentional injuries","3971","62766","54857","89543","64633","23284","19459","27784","346297","3469","47748","38584","34537","26198","11154","12649","32051","206390","552687","5499","65163","53080","82844","54940","17143","14484","18981","312134","4713","48510","38666","30529","20984","8570","9851","21137","182960","495094"
"Low-income; Road injury","226","8164","14930","33610","25306","8210","6456","7333","104235","204","5356","9112","10207","7873","3332","3344","5166","44594","148829","249","7007","10828","27238","18705","4862","3700","4047","76636","230","4423","6587","7643","5367","2044","2031","2647","30972","107608"
"Low-income; Poisonings","360","4763","2495","5658","4760","1643","1266","1560","22505","291","4263","2607","3913","2908","1114","900","1162","17158","39663","545","5383","2953","6545","4851","1392","1098","1132","23899","442","4290","3225","4078","2702","1039","818","914","17508","41407"
"Low-income; Falls","221","5468","3862","6264","6338","3591","3863","7788","37395","331","3626","2815","2244","2512","1715","2858","13297","29398","66793","272","4853","3789","5472","5023","2565","3033","5575","30582","373","2801","2413","1577","1554","1034","1899","7654","19305","49887"
"Low-income; Fire, heat and hot substances","355","14465","7224","6231","4542","1786","1620","2975","39198","364","12402","7521","5886","4088","1358","1542","3922","37083","76281","426","13574","6402","5574","3693","1376","1247","2075","34367","455","10893","7195","4899","3124","1189","1374","3004","32133","66500"
"Low-income; Drowning","267","13040","12797","14630","7862","2576","1987","2109","55268","144","8183","7544","4580","2602","1012","1161","1726","26952","82220","347","16516","13860","13927","6514","1844","1443","1360","55811","211","11179","7975","4280","2045","778","941","1294","28703","84514"
"Low-income; Exposure to forces of nature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","45","88","151","163","72","57","55","632","1","49","61","74","100","54","51","62","452","1084"
"Low-income; Other unintentional injuries","2542","16866","13549","23151","15825","5477","4266","6018","87694","2136","13919","8986","7708","6214","2623","2843","6778","51207","138901","3659","17785","15161","23937","15991","5034","3906","4737","90210","3001","14875","11211","7979","6092","2433","2738","5562","53891","144101"
"Low-income; Intentional injuries","471","2713","8665","65817","39464","9213","6398","6418","139159","539","2625","6372","21569","13185","4190","3980","6164","58624","197783","578","2600","11955","74646","43227","8809","5900","4440","152155","532","2383","7873","21872","12028","3587","3353","4180","55808","207963"
"Low-income; Self-harm","0","0","2321","20639","13434","5302","4631","5476","51803","0","0","1744","10826","6660","2948","3101","5269","30548","82351","0","0","2084","17865","10523","3862","3568","3370","41272","0","0","1683","9960","5340","2151","2378","3395","24907","66179"
"Low-income; Interpersonal violence","468","2552","3915","34511","18900","2929","1299","762","65336","536","2462","3437","9251","5675","1039","773","842","24015","89351","567","1968","3177","26021","13497","2042","1000","573","48845","520","1736","2905","6221","3504","678","581","578","16723","65568"
"Low-income; Collective violence and legal intervention","3","161","2429","10667","7130","982","468","180","22020","3","164","1192","1492","850","203","105","53","4062","26082","11","633","6694","30760","19206","2905","1332","497","62038","12","647","3285","5691","3185","758","395","207","14180","76218"
