"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"High-income; Other digestive diseases","51","322","145","1606","11814","16039","21965","82182","134124","38","240","111","647","4763","8001","14195","126019","154014","288138","78","613","207","1515","12711","11386","18411","60531","105452","60","399","177","687","5073","5970","12655","103607","128628","234080"
"High-income; Genitourinary diseases","28","133","105","694","3886","7167","14391","94508","120912","31","116","96","497","3007","5322","11085","118745","138899","259811","31","216","138","1185","5517","5870","12282","60876","86115","26","179","148","803","3741","4355","10243","78909","98404","184519"
"High-income; Kidney diseases","19","101","86","557","3189","5774","11604","70680","92010","16","86","70","375","2244","3969","8226","82922","97908","189918","24","175","118","981","4543","4863","9851","45080","65635","20","142","108","601","2785","3315","7739","54696","69406","135041"
"High-income; Hyperplasia of prostate","0","0","0","0","2","18","98","2104","2222","0","0","0","0","0","0","0","0","0","2222","0","0","0","0","4","18","110","2017","2149","0","0","0","0","0","0","0","0","0","2149"
"High-income; Urolithiasis","0","0","1","7","36","63","109","580","796","0","0","1","4","21","42","91","863","1022","1818","0","0","2","16","81","74","170","601","944","0","0","3","8","44","49","144","793","1041","1985"
"High-income; Other genitourinary diseases","9","32","18","130","659","1311","2582","21144","25885","15","30","26","102","627","1236","2686","34408","39130","65015","7","41","18","188","889","916","2151","13177","17387","6","38","37","164","743","929","2290","23065","27272","44659"
"High-income; Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Gynecological diseases","0","0","0","0","0","0","0","0","0","0","0","0","17","116","76","83","552","844","844","0","0","0","0","0","0","0","0","0","0","0","0","30","169","63","70","356","688","688"
"High-income; Skin diseases","3","23","18","100","369","619","995","5537","7664","2","13","20","100","297","486","897","10300","12115","19779","2","45","29","151","480","443","727","4339","6216","0","23","34","148","425","348","720","9796","11494","17710"
"High-income; Musculoskeletal diseases","6","20","73","340","979","2123","3389","13275","20205","5","26","90","514","1559","2775","4709","28602","38280","58485","8","43","79","427","1490","1618","2720","9324","15709","2","30","101","662","2481","2484","4384","25431","35575","51284"
"High-income; Rheumatoid arthritis","0","0","3","17","50","288","639","1746","2743","0","0","10","30","126","649","1342","6219","8376","11119","0","0","9","45","231","363","775","1699","3122","0","2","16","53","353","681","1683","6271","9059","12181"
"High-income; Osteoarthritis","0","0","0","1","9","19","61","731","821","0","0","0","0","6","15","78","2076","2175","2996","0","0","1","0","8","22","61","692","784","0","0","0","0","5","24","82","2097","2208","2992"
"High-income; Gout","0","0","0","0","8","20","34","188","250","0","0","0","1","0","5","3","111","120","370","0","0","0","0","13","9","27","102","151","0","0","0","0","0","5","3","72","80","231"
"High-income; Back and neck pain","0","0","0","2","41","108","276","1337","1764","0","0","0","1","18","45","141","1453","1658","3422","0","1","2","4","40","79","174","616","916","0","1","0","1","21","32","80","698","833","1749"
"High-income; Other musculoskeletal disorders","6","20","70","320","870","1688","2380","9274","14628","5","26","80","482","1409","2062","3145","18743","25952","40580","8","42","67","378","1198","1145","1684","6215","10737","2","28","85","608","2103","1742","2535","16293","23396","34133"
"High-income; Congenital anomalies","7888","6000","699","1383","1859","1463","1335","1411","22038","6871","5274","614","957","1385","1334","1205","2022","19662","41700","10769","8134","1068","1687","2036","1065","885","1533","27177","9097","6902","972","1161","1667","1102","973","2218","24092","51269"
"High-income; Neural tube defects","369","279","26","57","73","27","15","12","858","401","276","25","45","84","55","11","19","916","1774","663","459","57","68","56","15","7","7","1332","680","431","48","66","62","12","7","13","1319","2651"
"High-income; Cleft lip and cleft palate","20","16","0","0","0","0","0","2","38","17","13","0","0","0","0","0","1","31","69","26","17","0","0","1","0","0","5","49","27","18","0","0","1","0","0","0","46","95"
"High-income; Down's syndrome","164","174","33","93","312","592","554","51","1973","151","149","29","65","291","584","510","86","1865","3838","205","211","49","137","266","359","184","29","1440","208","212","45","107","299","351","226","47","1495","2935"
"High-income; Congenital heart anomalies","3522","2608","288","674","817","410","329","610","9258","2799","2137","228","364","526","334","287","1078","7753","17011","5143","3645","455","890","1025","355","326","647","12486","4124","2975","398","572","776","361","321","1108","10635","23121"
"High-income; Other chromosomal anomalies","767","523","39","54","41","31","26","15","1496","1019","712","49","56","39","31","28","24","1958","3454","770","544","44","47","47","21","19","11","1503","950","700","56","46","41","27","26","18","1864","3367"
"High-income; Other congenital anomalies","3046","2401","313","505","616","402","410","721","8414","2485","1987","284","426","445","329","369","815","7140","15554","3961","3258","463","546","643","316","348","834","10369","3108","2566","426","369","488","351","393","1031","8732","19101"
"High-income; Oral conditions","0","1","0","6","29","30","84","252","402","0","3","1","8","35","38","66","407","558","960","0","0","0","6","18","21","16","72","133","2","3","0","0","12","5","6","178","206","339"
"High-income; Dental caries","0","1","0","6","28","27","82","246","390","0","3","1","8","35","37","65","396","545","935","0","0","0","6","18","20","16","71","131","2","3","0","0","11","5","5","173","199","330"
"High-income; Periodontal disease","0","0","0","0","1","3","3","6","13","0","0","0","0","0","1","2","11","14","27","0","0","0","0","0","1","0","1","2","0","0","0","0","1","0","1","5","7","9"
"High-income; Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Injuries","289","4535","5753","84921","140069","83667","61836","124447","505517","207","2832","3027","20890","40272","27271","24260","122432","241191","746708","498","6931","11348","131450","221666","84953","67408","89080","613334","373","4629","5438","30443","53751","25953","26856","95580","243023","856357"
"High-income; Unintentional injuries","240","3950","4767","47487","76121","48895","40254","98534","320248","170","2388","2427","12193","22061","17018","16821","110693","183771","504019","426","6256","9461","82347","131200","51813","44458","67140","393101","312","4060","4544","19680","31636","16479","18537","83088","178336","571437"
"High-income; Road injury","23","712","1857","25283","26552","12616","8926","12311","88280","15","499","1001","6635","6813","4112","3750","8487","31312","119592","59","1450","4102","42822","44739","14688","12381","14462","134703","42","1021","2362","12389","12357","5388","5980","11247","50786","185489"
"High-income; Poisonings","6","184","119","3303","6897","3986","1953","2070","18518","5","121","90","1315","4152","2778","1149","2494","12104","30622","28","297","270","4107","12187","4140","2856","1775","25660","24","222","195","1340","3866","1432","1170","2194","10443","36103"
"High-income; Falls","12","246","192","2453","7683","7515","8248","36433","62782","7","122","103","572","1615","2138","3285","45184","53026","115808","33","394","312","3692","10856","6386","7183","19142","47998","23","225","153","841","2272","1801","2897","29926","38138","86136"
"High-income; Fire, heat and hot substances","10","376","287","1233","3926","3478","2656","3335","15301","8","245","202","412","1147","1161","1039","3319","7533","22834","31","735","491","2026","6958","3255","2783","2592","18871","28","529","359","734","2040","1245","1408","3030","9373","28244"
"High-income; Drowning","13","899","1135","5049","7330","4309","3239","4891","26865","6","411","374","611","1203","932","996","3837","8370","35235","36","1536","2442","10280","14381","4668","3775","3270","40388","22","803","796","1301","2155","1094","1223","3149","10543","50931"
"High-income; Exposure to forces of nature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other unintentional injuries","177","1533","1176","10167","23733","16991","15232","39494","108503","131","990","658","2648","7131","5897","6603","47372","71430","179933","239","1845","1843","19420","42078","18676","15480","25899","125480","173","1259","680","3076","8946","5520","5858","33543","59055","184535"
"High-income; Intentional injuries","49","585","987","37434","63949","34773","21582","25914","185273","38","444","599","8697","18211","10253","7439","11739","57420","242693","73","675","1887","49102","90466","33140","22951","21940","220234","61","569","894","10763","22115","9474","8320","12491","64687","284921"
"High-income; Self-harm","0","0","604","25664","50613","30035","19378","24368","150662","0","0","335","6547","14388","8709","6482","10077","46538","197200","0","0","1008","29949","62376","26243","18860","19983","158419","0","0","297","6433","14330","7122","6337","10038","44557","202976"
"High-income; Interpersonal violence","49","585","361","10970","12698","4538","2049","1329","32579","38","444","255","2113","3762","1494","919","1554","10579","43158","72","649","634","16074","24915","6336","3627","1724","54031","60","544","498","4052","7360","2166","1780","2258","18718","72749"
"High-income; Collective violence and legal intervention","0","0","22","800","637","200","155","216","2030","0","0","10","37","60","49","39","108","303","2333","1","26","245","3080","3175","561","463","233","7784","1","26","99","278","425","187","203","196","1415","9199"
