"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Upper-middle-income; Stroke","0","0","1794","9210","59646","138752","326408","973267","1509077","0","0","1365","6297","55116","115184","250744","1115735","1544441","3053518","0","0","2730","9782","66217","112173","292592","973,848","1,509,658","0","0","2078","6816","55434","90725","213424","1,116,704","1,545,410","3,055,068"
"Upper-middle-income; Cardiomyopathy, myocarditis, endocarditis","0","1451","832","3148","9358","10909","16110","34794","76602","0","1064","822","2258","5579","5826","9828","42663","68040","144642","0","1528","1360","4681","12344","9352","14809","34,834","76,642","0","1193","1216","3009","5748","4558","8861","42,717","68,094","144,736"
"Upper-middle-income; Other circulatory diseases","0","1528","1225","5247","16318","21124","40675","145475","231592","0","1256","1269","4385","12551","15184","30240","173398","238283","469875","0","1939","1531","6191","21253","25032","67224","145,818","231,935","0","1616","1553","6339","20262","22522","54705","173,924","238,809","470,744"
"Upper-middle-income; Respiratory diseases","8","3410","1549","4648","16609","40285","127110","596069","789688","5","2446","1505","3954","13888","29167","81061","536871","668897","1458585","31","5543","2340","7007","28827","53555","196454","596,971","790,590","22","4239","2007","5509","25850","40866","133314","537,972","669,998","1,460,588"
"Upper-middle-income; Chronic obstructive pulmonary disease","5","650","291","1061","7419","28142","105024","518988","661580","3","385","227","952","6951","21100","67151","463785","560554","1222134","10","914","706","2624","17643","42483","170950","519,769","662,361","9","661","523","2355","17574","33107","116779","464,730","561,499","1,223,860"
"Upper-middle-income; Asthma","4","378","438","882","2017","2860","6017","19881","32477","2","273","386","855","2479","2695","4717","20066","31473","63950","20","887","603","1266","2595","3025","7703","19,885","32,481","13","792","533","1025","3054","2553","5634","20,073","31,480","63,961"
"Upper-middle-income; Other respiratory diseases","0","2382","820","2704","7172","9284","16068","57200","95630","0","1788","892","2147","4459","5373","9193","53020","76872","172502","0","3743","1031","3118","8589","8047","17801","57,317","95,747","0","2786","951","2130","5222","5206","10902","53,168","77,020","172,767"
"Upper-middle-income; Digestive diseases","65","2513","1425","6444","51627","61791","72341","119826","316032","46","2090","1343","4521","20112","27984","43436","124335","223867","539899","95","2291","2886","12187","73891","58984","75678","120,200","316,406","64","1808","2475","6601","28675","26897","43890","124,921","224,453","540,859"
"Upper-middle-income; Peptic ulcer disease","0","44","105","568","2631","3955","6316","15762","29381","0","37","159","307","1205","1745","3307","15054","21814","51195","0","62","323","1870","6376","6052","10952","15,789","29,408","0","45","119","761","3085","3080","5717","15,102","21,862","51,270"
"Upper-middle-income; Cirrhosis of the liver","1","225","275","2237","33210","39721","39185","38216","153070","1","294","185","1419","9331","14736","19675","29391","75032","228102","2","254","478","5136","49275","38603","41365","38,253","153,107","3","255","588","1945","15116","14450","20187","29,438","75,079","228,186"
"Upper-middle-income; Appendicitis","0","115","225","313","542","476","728","1455","3854","0","108","211","307","408","411","548","1682","3675","7529","1","168","330","513","805","505","888","1,463","3,862","1","135","209","433","744","333","573","1,693","3,686","7,548"
"Upper-middle-income; Other digestive diseases","63","2129","821","3326","15244","17640","26112","64393","129728","45","1650","788","2489","9168","11093","19907","78209","123349","253077","92","1807","1755","4669","17435","13824","22472","64,695","130,030","60","1373","1560","3461","9730","9035","17414","78,688","123,828","253,858"
"Upper-middle-income; Genitourinary diseases","183","1148","1234","4748","13481","17986","29346","75382","143508","221","889","1068","4715","15808","17183","26458","72990","139332","282840","168","1409","1702","7521","17195","13623","24273","75,785","143,911","131","1022","1741","7187","17370","12655","20525","73,426","139,768","283,679"
"Upper-middle-income; Kidney diseases","21","726","970","3679","10282","13681","21714","49216","100289","14","575","702","3510","12002","12873","19674","47228","96578","196867","21","951","1495","6404","14000","10916","18401","49,448","100,521","16","691","1468","5818","13904","9998","16384","47,412","96,762","197,283"
"Upper-middle-income; Hyperplasia of prostate","0","0","0","9","6","61","338","3163","3577","0","0","0","0","0","0","8","10","18","3595","0","0","0","19","79","219","956","3,189","3,603","0","0","0","0","0","0","0","0","0","3,621"
"Upper-middle-income; Urolithiasis","0","0","37","61","304","534","860","2042","3838","0","0","55","42","209","297","550","1620","2773","6611","0","0","26","103","508","506","991","2365","4499","0","0","34","59","299","327","539","1,621","2,774","6,612"
"Upper-middle-income; Other genitourinary diseases","162","422","227","999","2889","3709","6434","20961","35803","207","314","312","833","2583","3275","5436","22790","35750","71553","148","458","180","996","2609","1982","3925","21,105","35,947","115","331","239","802","2037","1758","3060","23,035","35,995","71,942"
"Upper-middle-income; Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Gynecological diseases","0","0","0","0","0","0","0","0","0","0","0","0","330","1013","739","790","1342","4214","4214","0","0","0","0","0","0","0","0","0","0","0","0","509","1130","572","541","1,348","4,220","4,220"
"Upper-middle-income; Skin diseases","2","242","105","298","797","878","1370","4888","8580","3","236","130","369","746","852","1294","8142","11772","20352","6","280","156","354","717","562","750","4,955","8,647","5","231","237","490","836","596","837","8,248","11,878","20,525"
"Upper-middle-income; Musculoskeletal diseases","1","38","288","1002","2107","2627","3811","10174","20048","1","26","681","3909","6081","4752","5843","17040","38333","58381","4","59","275","1048","1772","1433","2321","10,264","20,138","2","22","404","2399","4275","2286","3312","17,278","38,571","58,709"
"Upper-middle-income; Rheumatoid arthritis","0","0","45","122","301","625","1122","2837","5052","0","1","96","236","927","1587","2485","6269","11601","16653","0","0","54","215","456","510","1024","2,838","5,053","0","0","47","175","755","860","1489","6,284","11,616","16,669"
"Upper-middle-income; Osteoarthritis","0","1","0","1","7","12","42","357","420","0","1","0","0","7","17","66","631","722","1142","0","2","0","0","3","10","13","358","421","0","0","0","1","4","7","27","640","731","1,152"
"Upper-middle-income; Gout","0","0","0","1","33","35","36","61","166","0","0","0","0","1","1","1","8","11","177","0","1","0","0","17","16","17","28","79","0","0","0","0","0","0","0","6","6","85"
"Upper-middle-income; Back and neck pain","0","0","1","5","21","48","74","106","255","0","0","0","1","8","25","56","99","189","444","0","0","0","1","11","18","16","43","89","0","0","0","1","1","8","15","45","70","159"
"Upper-middle-income; Other musculoskeletal disorders","1","37","242","873","1746","1907","2538","6812","14156","1","25","585","3672","5138","3122","3235","10033","25811","39967","4","56","221","831","1284","879","1251","6,901","14,245","2","22","357","2221","3515","1411","1781","10,247","26,025","40,270"
"Upper-middle-income; Congenital anomalies","35053","23412","3402","3789","2134","1189","1169","2172","72320","27611","20398","3603","4635","3219","1303","1260","2976","65005","137325","39871","30163","5956","4815","2243","539","721","2,174","72,322","31071","24925","5373","5374","2661","690","644","2,977","65,006","137,328"
"Upper-middle-income; Neural tube defects","3546","1283","179","150","73","50","35","67","5383","2718","1186","158","167","97","38","33","76","4473","9856","6591","2256","366","219","108","22","26","46","9634","4647","1842","351","241","118","26","18","52","7295","16929"
"Upper-middle-income; Cleft lip and cleft palate","333","283","0","0","0","0","0","0","616","162","118","1","0","0","0","0","0","281","897","525","481","1","0","0","0","0","0","1007","216","171","0","1","0","0","0","0","388","1395"
"Upper-middle-income; Down's syndrome","433","616","120","211","211","166","77","13","1847","452","650","102","227","272","172","119","22","2016","3863","621","889","171","204","165","52","28","6","2136","648","902","204","236","209","73","37","8","2317","4453"
"Upper-middle-income; Congenital heart anomalies","18849","12325","2251","2654","1257","495","474","1080","39385","14622","10483","2485","3475","2181","593","519","1748","36106","75491","19017","15503","4308","3705","1457","229","313","704","45236","14621","12413","3733","4165","1812","309","306","1,749","36,107","75,492"
"Upper-middle-income; Other chromosomal anomalies","1741","654","115","100","51","39","45","31","2776","1908","1109","167","151","104","54","70","60","3623","6399","2040","928","185","115","68","15","24","16","3391","1869","1352","242","185","81","24","31","33","3817","7208"
"Upper-middle-income; Other congenital anomalies","10152","8253","737","674","542","440","538","982","22318","7748","6852","691","614","566","446","519","1070","18506","40824","11077","10107","925","573","446","222","329","518","24197","9070","8246","843","547","441","257","252","561","20217","44414"
"Upper-middle-income; Oral conditions","0","1","0","12","24","18","17","33","105","0","1","1","7","17","18","10","41","95","200","0","10","3","9","36","12","7","10","87","0","4","0","15","20","4","12","12","67","154"
"Upper-middle-income; Dental caries","0","1","0","12","23","17","15","30","98","0","1","1","7","17","15","10","39","90","188","0","10","3","6","35","9","4","31","99","0","4","0","12","17","3","12","12","60","189"
"Upper-middle-income; Periodontal disease","0","0","0","0","2","2","2","2","8","0","0","0","0","1","2","1","2","6","14","0","0","0","3","1","3","2","2","11","0","0","0","3","3","1","0","0","7","18"
"Upper-middle-income; Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Injuries","4882","32159","37261","254579","288367","128203","105149","151158","1001758","3952","23363","19763","71851","97612","54107","57833","147301","475782","1477540","8619","59923","68915","297297","317255","91845","82171","151,326","1,001,926","7683","43486","39106","107835","123645","41637","44404","147,442","475,923","1,477,849"
"Upper-middle-income; Unintentional injuries","4502","31094","32673","150330","193872","99179","82577","120474","714701","3533","22398","17296","47063","68088","39323","42271","123341","363313","1078014","8171","58496","62202","175600","205357","60942","53182","120,614","714,841","6512","42047","34163","55287","64032","23480","26107","123,478","363,450","1,078,291"
"Upper-middle-income; Road injury","312","6032","10854","95964","117677","50950","38553","43532","363874","249","4599","6771","28836","38916","20834","20136","27296","147637","511511","342","7481","15535","83820","97552","24358","19331","43,596","363,938","267","5519","9800","23741","27358","9103","9121","27,325","147,666","511,604"
"Upper-middle-income; Poisonings","147","2564","754","3958","7978","5261","5057","5311","31030","150","2450","692","3318","5020","2407","2529","4736","21302","52332","484","3968","2024","7978","13113","5242","4848","5,313","31,032","367","3148","2013","6295","6915","2218","2528","4,738","21,304","52,336"
"Upper-middle-income; Falls","158","1666","1794","7414","16885","14696","14570","35214","92397","181","1161","908","2404","5351","4204","6507","48821","69537","161934","359","3134","2985","9649","17284","7578","8360","35,264","92,447","325","2199","1743","2810","4526","2657","4152","48,890","69,606","162,053"
"Upper-middle-income; Fire, heat and hot substances","82","1604","990","2508","3535","2139","2120","4985","17963","89","1379","926","2141","2165","1148","1500","5230","14578","32541","181","2947","1511","3515","4433","1630","1680","4,986","17,964","154","2267","1444","3410","2542","926","1359","5,235","14,583","32,547"
"Upper-middle-income; Drowning","186","6770","12239","13249","9993","5228","5520","7256","60441","147","4263","4891","3495","5015","3690","4099","8077","33677","94118","662","20081","28507","23743","15134","5142","4767","7,259","60,444","496","13094","12899","7905","7169","2527","2588","6170","52848","94,121"
"Upper-middle-income; Exposure to forces of nature","0","0","64","109","102","55","46","42","418","0","0","44","54","60","39","37","46","280","698","0","0","1","2","2","1","1","1","8","0","0","1","1","1","1","1","1","6","14"
"Upper-middle-income; Other unintentional injuries","3618","12458","5978","27130","37702","20851","16710","24133","148580","2718","8547","3065","6816","11561","7001","7464","29135","76307","224887","6144","20886","11639","46894","57840","16992","14195","24,154","148,601","4902","15820","6264","11126","15523","6049","6358","29,168","76,340","224,941"
"Upper-middle-income; Intentional injuries","380","1065","4588","104249","94495","29023","22573","30684","287057","419","965","2467","24788","29525","14784","15562","23960","112470","399527","448","1427","6713","121697","111898","30903","28990","30,712","287,085","1172","1439","4943","52548","59613","18157","18297","23,964","112,474","399,559"
"Upper-middle-income; Self-harm","0","0","1263","20096","26149","16310","16764","26844","107426","0","0","985","14822","19758","12486","14059","22034","84144","191570","0","0","2691","36886","47161","19485","23202","26,850","107,432","0","0","2651","41653","48516","15960","16488","27029","152297","191,576"
"Upper-middle-income; Interpersonal violence","379","1006","2409","77050","62898","11934","5405","3607","164688","418","906","1052","9195","9159","2107","1397","1844","26078","190766","448","1397","3383","79332","60596","10862","5460","3,629","164,710","1171","1409","1987","10324","10623","2056","1720","1,847","26,081","190,791"
"Upper-middle-income; Collective violence and legal intervention","1","59","916","7102","5448","779","405","233","14943","1","58","431","771","607","190","106","82","2246","17189","1","29","639","5479","4141","555","328","176","11348","1","30","305","572","474","141","89","65","1677","13025"
